A1:394 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:313 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:314 , A3:313 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:316 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:314 , A3:313 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.68

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:313 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.16

A1:392 , A2:314 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:315 , A3:313 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:205 , A5:103 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:315 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:312 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:315 , A3:316 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:313 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.18

A1:393 , A2:314 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.18

A1:393 , A2:314 , A3:313 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:314 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:392 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:392 , A2:314 , A3:313 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:313 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:313 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:314 , A4:203 , A5:103 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:392 , A2:314 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:392 , A2:315 , A3:315 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:314 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:313 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:313 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:395 , A2:314 , A3:314 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:314 , A3:313 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:313 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:314 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.16

A1:394 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:315 , A3:313 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:314 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:315 , A3:313 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:392 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.75

A1:392 , A2:314 , A3:313 , A4:205 , A5:103 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.73

A1:394 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.75

A1:394 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.15

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:313 , A4:204 , A5:106 , height_photoresistor:7, ultrasonic:0.75

A1:392 , A2:315 , A3:314 , A4:203 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:397 , A2:314 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:-0.28

A1:392 , A2:314 , A3:313 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:315 , A3:314 , A4:205 , A5:103 , height_photoresistor:7, ultrasonic:0.75

A1:393 , A2:314 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:314 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:395 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.75

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:314 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:316 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:316 , A3:315 , A4:203 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:316 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.20

A1:394 , A2:315 , A3:313 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:316 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:315 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.69

A1:392 , A2:315 , A3:313 , A4:206 , A5:103 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:316 , A3:315 , A4:204 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:314 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:314 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:314 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:314 , A3:315 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:314 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:313 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:315 , A3:314 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:315 , A3:315 , A4:207 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.64

A1:393 , A2:316 , A3:315 , A4:205 , A5:107 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:207 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:314 , A3:313 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:316 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:316 , A3:315 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.71

A1:392 , A2:315 , A3:313 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.15

A1:393 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:313 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:314 , A4:204 , A5:106 , height_photoresistor:7, ultrasonic:0.28

A1:393 , A2:315 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.59

A1:393 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:395 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.15

A1:393 , A2:316 , A3:316 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:316 , A3:314 , A4:207 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:315 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:314 , A3:316 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.69

A1:393 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.20

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.69

A1:394 , A2:315 , A3:315 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:316 , A3:315 , A4:204 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:316 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.61

A1:392 , A2:315 , A3:315 , A4:207 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:316 , A3:316 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:315 , A3:315 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:316 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:313 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.15

A1:391 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.15

A1:393 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.64

A1:393 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:392 , A2:315 , A3:315 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.69

A1:393 , A2:316 , A3:315 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:205 , A5:103 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.69

A1:393 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:316 , A3:315 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:392 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:316 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:204 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:313 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:314 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:316 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.69

A1:392 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:315 , A3:314 , A4:206 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:316 , A3:314 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:315 , A3:315 , A4:207 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:315 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:316 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:316 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.71

A1:394 , A2:316 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:316 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:315 , A3:314 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.71

A1:393 , A2:316 , A3:314 , A4:204 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.61

A1:393 , A2:316 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:314 , A3:315 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.57

A1:392 , A2:315 , A3:313 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.59

A1:394 , A2:316 , A3:314 , A4:205 , A5:104 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:315 , A3:316 , A4:205 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:314 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.61

A1:394 , A2:315 , A3:314 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:394 , A2:316 , A3:316 , A4:206 , A5:106 , height_photoresistor:7, ultrasonic:0.56

A1:392 , A2:315 , A3:314 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:395 , A2:316 , A3:314 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:395 , A2:316 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.73

A1:391 , A2:315 , A3:315 , A4:206 , A5:105 , height_photoresistor:7, ultrasonic:0.56

A1:393 , A2:316 , A3:315 , A4:204 , A5:105 , height_photoresistor:7, ultrasonic:0.57

A1:394 , A2:316 , A3:315 , A4:205 , A5:105 , height_photoresistor:7, ultrasonic:0.57

